Learning startedEpoch 0, Loss: 4.172002511604943
0.1Epoch 20, Loss: 0.08171546330496332
0.1Epoch 40, Loss: 0.03799905865059989
0.1Epoch 60, Loss: 0.02413755126218797
0.1Epoch 80, Loss: 0.01743124775708365
0.1Epoch 100, Loss: 0.01357282654816692
0.1Epoch 120, Loss: 0.011064178351882835
0.1Epoch 140, Loss: 0.009309607095842307
0.1Epoch 160, Loss: 0.008017249138334154
0.1Epoch 180, Loss: 0.007027916023236347
0.1
Results after training:
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [0], Output: 0
Target: [0], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 0
Target: [0], Output: 0
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [0], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [1], Output: 1
Target: [1], Output: 1
Target: [0], Output: 0
Target: [1], Output: 1
Target: [0], Output: 0
Count of wrong predictions: 3/100
